Article_no,prd_name,prd_description,prd_type,prd_category,prd_price,min_acceptable_price,product_image_path,size_s,size_m,size_l,size_xl
pr001,Ban collar black jacket,A full black light-weight zipper jacket with ban collars and designed with simple and stylish look.,garments,men,2399,1500,../../static/products/Men/pr001.jpg,20,20,20,20
pr002,Black shirt with zipper,"A black long-sleeved, long shirt with zippers and opening on the sideways",garments,men,999,750,../../static/products/Men/pr002.jpg,20,20,20,20
pr003,Blue-t-shirt,"An elegant crew neck, half-sleeved blue shirt made up of soft and high quality cotton. ",garments,men,799,600,../../static/products/Men/pr003.jpg,20,20,20,20
pr004,Casual woolen shirt,A soft woolen shirt made up of high quality fabric with two pockets in front and beautiful and contrasting black buttons,garments,men,1499,1100,../../static/products/Men/pr004.jpg,20,20,20,20
pr005,Men check shirt,Wonderful high quality fabric check shirt for men with a choice of elegant styles.,garments,men,1299,900,../../static/products/Men/pr005.jpg,20,20,20,20
pr006,Light blue denim jeans,High quality denim jeans made from imported fabric and with a cool look that will match with almost any color.,garments,men,1499,1000,../../static/products/Men/pr006.jpg,20,20,20,20
pr007,Diesel denim jeans,High quality diesel colored jeans with a stylish look and elegant fabric with strechable texture.,garments,men,1499,1000,../../static/products/Men/pr007.jpg,20,20,20,20
pr008,Onitsuka graphic t-shirt,Cool black t-shirt with a wonderful logo printed in red and white and made up of high quality fabric.,garments,men,799,600,../../static/products/Men/pr008.jpg,20,20,20,20
pr009,Gray casual shirt,Simple and decent casual shirt for men who want to look simple as well as graceful. Made from high quality cotton ,garments,men,1299,900,../../static/products/Men/pr009.jpg,20,20,20,20
pr010,Stylish gray casual shirt,Full sleeved and graceful looking casual shirt with grey color plus white texture on the soft and high quality fabric that looks appeasing for stylish outfits.,garments,men,1299,900,../../static/products/Men/pr010.jpg,20,20,20,20
pr011,Grey-t-shirt,"An elegant crew neck, half-sleeved grey shirt made up of soft and high quality cotton.",garments,men,899,600,../../static/products/Men/pr011.jpg,20,20,20,20
pr012,Lightweight mens jacket,Lightweight and stylish mens jacket made up of waterproof fabric style plus water resistance in one place.,garments,men,1999,1200,../../static/products/Men/pr012.jpg,20,20,20,20
pr013,Karsten blue shirt,Royal blue half sleeved karsten collared shirt made up of fine combed cotton and having a front pocket on left.,garments,men,1199,900,../../static/products/Men/pr013.png,20,20,20,20
pr014,Men black trousers,Lightweight men black trousers made with high quality fabric to provide for a comforting and simple outerlook.,garments,men,1299,900,../../static/products/Men/pr014.jpg,20,20,20,20
pr015,Mens spring summer jacket,Lightweight men navy blue jacket made for style and grace in spring and summer seasons also providing resistance to water.,garments,men,1399,900,../../static/products/Men/pr015.jpg,20,20,20,20
pr016,Puma trousers gray,Lightweight men black grey trousers made with high quality fabric to provide for a comforting and simple outerlook and manufactured by Puma,garments,men,1299,950,../../static/products/Men/pr016.jpg,20,20,20,20
pr017,Purple-t-shirt,"An elegant crew neck, half-sleeved purple shirt made up of soft and high quality cotton.",garments,men,799,600,../../static/products/Men/pr017.jpg,20,20,20,20
pr018,Skin jeans dark gray,High quality dark gray skin jeans made from imported fabric and with a cool look that will match with almost any color.,garments,men,1499,1100,../../static/products/Men/pr018.jpg,20,20,20,20
pr019,Slate casual shirt,A soft casual shirt made up of high quality fabric with two pockets in front and beautiful and a warm slate color.,garments,men,1299,1000,../../static/products/Men/pr019.jpg,20,20,20,20
pr020,Teal-t-shirt,"An elegant crew neck, half-sleeved teal colored shirt made up of soft and high quality cotton.",garments,men,799,600,../../static/products/Men/pr020.jpg,20,20,20,20
pr021,Urban blue jeans,High quality urban jeans made from imported fabric and with a cool look that will match with almost any color.,garments,men,1599,1000,../../static/products/Men/pr021.jpg,20,20,20,20
pr022,Anchor bracelet for men,This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality synthetic leather and stainless steel anchor.,accessories,men,899,600,../../static/products/Men/Accessories/pr022.jpg,20,20,20,20
pr023,Black buddha bracelet,This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality beads with a golden buddha head,accessories,men,899,600,../../static/products/Men/Accessories/pr023.jpg,20,20,20,20
pr024,Chakra bracelet,This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality black as well as colored beads to provide for a colorful look.,accessories,men,899,600,../../static/products/Men/Accessories/pr024.jpg,20,20,20,20
pr025,Hot dog pin,High quality little pin made to stick to your shirt or jacket to provide additional style that stylish men wants.,accessories,men,699,450,../../static/products/Men/Accessories/pr025.jpg,20,20,20,20
pr026,Pizza enamel pin,High quality little pin made to stick to your shirt or jacket to provide additional style that stylish men wants.,accessories,men,699,450,../../static/products/Men/Accessories/pr026.jpg,20,20,20,20
pr027,Aqua Desi Kurti for women,Aqua colored kurti made for women who want to look cool plus desi in their outfit. Its made up of high quality fabric with stylish design on neck and sleeves.,garments,women,1999,1300,../../static/products/Women/pr027.jpg,20,20,20,20
pr028,Embroidered white women top,Wonderful white colored shirt with flower embroidery on both sleeves. Its made up of high quality and soft fabric.,garments,women,1499,900,../../static/products/Women/pr028.jpg,20,20,20,20
pr029,Orange Stylish Kurti for women,Orange colored dress made for women who want to look cool in their outfit. Its made up of high quality fabric with fresh bright orange color.,garments,women,1999,1500,../../static/products/Women/pr029.jpg,20,20,20,20
pr030,Lightblue women top,Wonderful light blue women shirt with simple texture providing a decent look.,garments,women,1299,900,../../static/products/Women/pr030.jpg,20,20,20,20
pr031,Pink Kurti,Pink colored  kurtimade for women who want to look cool plus desi in their outfit. Its made up of high quality silky fabric with a fabulous design. ,garments,women,1999,1500,../../static/products/Women/pr031.jpg,20,20,20,20
pr032,Red t-shirt with pocket,Simple crewneck red color tee shirt for women who want to look cool in summers Its made up of high quality soft cotton fabric.,garments,women,999,600,../../static/products/Women/pr032.jpg,20,20,20,20
