id,description,
pr001,Ban collar black jacket - A full black light-weight zipper jacket with ban collars and designed with simple and stylish look.,
pr002,"Black shirt with zipper - A black long-sleeved, long shirt with zippers and opening on the sideways",
pr003,"Blue-t-shirt - An elegant crew neck, half-sleeved blue shirt made up of soft and high quality cotton. ",
pr004,Casual woolen shirt - A soft woolen shirt made up of high quality fabric with two pockets in front and beautiful and contrasting black buttons,
pr005,Men check shirt - Wonderful high quality fabric check shirt for men with a choice of elegant styles.,
pr006,Light blue denim jeans - High quality denim jeans made from imported fabric and with a cool look that will match with almost any color.,
pr007,Diesel denim jeans - High quality diesel colored jeans with a stylish look and elegant fabric with strechable texture.,
pr008,Onitsuka graphic t-shirt - Cool black t-shirt with a wonderful logo printed in red and white and made up of high quality fabric.,
pr009,Gray casual shirt - Simple and decent casual shirt for men who want to look simple as well as graceful. Made from high quality cotton ,
pr010,Stylish gray casual shirt - Full sleeved and graceful looking casual shirt with grey color plus white texture on the soft and high quality fabric that looks appeasing for stylish outfits.,
pr011,"Grey-t-shirt - An elegant crew neck, half-sleeved grey shirt made up of soft and high quality cotton.",
pr012,Lightweight mens jacket - Lightweight and stylish mens jacket made up of waterproof fabric style plus water resistance in one place.,
pr013,Karsten blue shirt - Royal blue half sleeved karsten collared shirt made up of fine combed cotton and having a front pocket on left.,
pr014,Men black trousers - Lightweight men black trousers made with high quality fabric to provide for a comforting and simple outerlook.,
pr015,Mens spring summer jacket - Lightweight men navy blue jacket made for style and grace in spring and summer seasons also providing resistance to water.,
pr016,Puma trousers gray - Lightweight men black grey trousers made with high quality fabric to provide for a comforting and simple outerlook and manufactured by Puma,
pr017,"Purple-t-shirt - An elegant crew neck, half-sleeved purple shirt made up of soft and high quality cotton.",
pr018,Skin jeans dark gray - High quality dark gray skin jeans made from imported fabric and with a cool look that will match with almost any color.,
pr019,Slate casual shirt - A soft casual shirt made up of high quality fabric with two pockets in front and beautiful and a warm slate color.,
pr020,"Teal-t-shirt - An elegant crew neck, half-sleeved teal colored shirt made up of soft and high quality cotton.",
pr021,Urban blue jeans - High quality urban jeans made from imported fabric and with a cool look that will match with almost any color.,
pr022,Anchor bracelet for men - This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality synthetic leather and stainless steel anchor.,
pr023,Black buddha bracelet - This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality beads with a golden buddha head,
pr024,Chakra bracelet - This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality black as well as colored beads to provide for a colorful look.,
pr025,Hot dog pin - High quality little pin made to stick to your shirt or jacket to provide additional style that stylish men wants.,
pr026,Pizza enamel pin - High quality little pin made to stick to your shirt or jacket to provide additional style that stylish men wants.,
pr027,Aqua Desi Kurti for women - Aqua colored kurti made for women who want to look cool plus desi in their outfit. Its made up of high quality fabric with stylish design on neck and sleeves.,
pr028,Embroidered white women top - Wonderful white colored shirt with flower embroidery on both sleeves. Its made up of high quality and soft fabric.,
pr029,Orange Stylish Kurti for women - Orange colored dress made for women who want to look cool in their outfit. Its made up of high quality fabric with fresh bright orange color.,
pr030,Lightblue women top - Wonderful light blue women shirt with simple texture providing a decent look.,
pr031,Pink Kurti - Pink colored  kurtimade for women who want to look cool plus desi in their outfit. Its made up of high quality silky fabric with a fabulous design. ,
pr032,Red t-shirt with pocket - Simple crewneck red color tee shirt for women who want to look cool in summers Its made up of high quality soft cotton fabric.,
pr033,Stylish red top - Stylish women top with stylish design on the sleeves and edges of the shirt.,
pr034,Rama green rayon stylish top - Cool and wonderful rama green colored women top made up of high quality rayon fabric.,
pr035,Straight fit orange kurti - Perfectly designed orange kurti with straight fit made for women with simple choice of style and elegance.,
pr036,Striped fashon t-shirt - Crewneck black and white striped tee shirt for women who want to look cool in summers Its made up of high quality soft cotton fabric.,
pr037,Trendy flowered pattern top - Cute looking women top with trendy flower patterns on all over the high quality fabric making it look so damn fabulous.,
pr038,Women black top - Perfectly designed black with minimal design on fabric and made for women with simple choice of style and elegance.,
pr039,Womens boho top - Stylish women top with stylish design on the sleeves and edges of the shirt. Made with high quality fabric having beautiful blue pattern all over,
pr040,Black over the shoulder bag - Black colored over the shoulder bag made up of high quality synthetic leather and steel zippers that do not dissappoint.,
pr041,Brown purse - Women purse with chocolate brown color made up of high quality material and quality buttons and zippers.,
pr042,Light brown purse - Women purse with chocolate brown color made up of premium quality material and quality buttons and zippers.,
pr043,Lemon purse - Cute lemon shaped purse for women who are looking to have cuteness and cool looking accessories,
pr044,Light pink purse - Women purse with sweet pink color made up of premium quality material and quality buttons and zippers.,
pr045,Marble fashion wristwatch - Wonderful black wrist watch for women. Its has premium quality soft leather straps and watch made up of water resistant material making it an excellent to have accessory.,
pr046,Gold and blue necklace - Wonderfully designed and made necklace for women who love light and minimal jewellery with their outfits.,
pr047,Women bracelet - Cool looking women bracelet made up of premium quality material and perfect for adding up more style to your outfits.,
pr048,Threader necklace - Simple and decent looking necklace for women made up of high quality non corroding material.,
